vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,1,0,5000000,9000000000,1,9001,1,9000,0,9000,0.8999999999999999,0,0.8999999999999999
2,3,1,2000000,10000000000,1792,3792,3,3789,1789,2000,0,0.5366592950863738,0.5366592950863738
2,11,1,2000000,8000000000,3792,5392,11,5381,1789,1600,0,0.5366592950863738,0.5366592950863738
2,13,1,2000000,4000000000,5392,6192,13,6179,1789,800,0,0.5366592950863738,0.5366592950863738
2,21,1,2000000,3000000000,6192,6792,21,6771,1789,600,0,0.5366592950863738,0.5366592950863738
2,6,0,6000000,8000000000,6,8006,6,8000,0,8000,0.7999999999999999,0,0.7999999999999999
2,36,1,2000000,8000000000,6792,8392,36,8356,1789,1600,0,0.5366592950863738,0.5366592950863738
2,85,1,2000000,5000000000,8392,9392,85,9307,1789,1000,0,0.5366209781980633,0.5366209781980633
2,95,1,2000000,2000000000,9392,9792,95,9697,1789,400,0,0.5366209781980633,0.5366209781980633
3,1,0,6000000,9000000000,1,9001,1,9000,0,9000,0.8999999999999999,0,0.8999999999999999
4,1,0,6000000,4000000000,1,4001,1,4000,0,4000,0.39999999999999997,0,0.39999999999999997
4,3,1,2000000,4000000000,3396,4196,3,4193,3393,800,0,1.0179349990524895,1.0179349990524895
4,7,1,2000000,6000000000,4196,5396,7,5389,3393,1200,0,1.0179349990524895,1.0179349990524895
4,43,1,2000000,3000000000,5396,5996,43,5953,3393,600,0,1.0179349990524895,1.0179349990524895
4,55,1,2000000,5000000000,5996,6996,55,6941,3393,1000,0,1.0179349990524895,1.0179349990524895
4,69,1,2000000,8000000000,6996,8596,69,8527,3393,1600,0,1.0178250442103347,1.0178250442103347
4,84,1,2000000,5000000000,8596,9596,84,9512,3393,1000,0,1.0178250442103347,1.0178250442103347
5,4,0,8000000,6000000000,4,6004,4,6000,0,6000,0.6,0,0.6
6,1,0,2000000,6000000000,1,6001,1,6000,0,6000,0.6,0,0.6
7,1,0,8000000,4000000000,1,4001,1,4000,0,4000,0.39999999999999997,0,0.39999999999999997
7,5,0,2000000,2000000000,4001,6001,5,5996,0,2000,0.19999999999999998,0,0.19999999999999998
