vehicle_id,task_id,execution_location,size,distance,transfer_rate,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,3,1,2000000,180.12860350316384,1273432.8034637466,10000000000,1772,3772,201,3571,1571,2000,0,0.4711673818736219,0.4711673818736219
1,18,1,2000000,177.31672002380375,1355378.4440694044,7000000000,3772,5172,1701,3471,1476,1400,0,0.44268078972729774,0.44268078972729774
1,4,1,4000000,176.95401803858536,1366420.200235899,6000000000,5172,6372,301,6071,2927,1200,0,0.8782071575001832,0.8782071575001832
1,2,0,8000000,,0,9000000000,101,9101,101,9000,0,9000,0.8999999999999999,0,0.8999999999999999
1,9,1,4000000,177.0236532218223,1364291.6446745733,7000000000,10372,11772,801,10971,2932,1400,0,0.8795773284137043,0.8795773284137043
1,32,1,2000000,178.31838856382703,1325455.5368411508,2000000000,16572,16972,3101,13871,1509,400,0,0.45267455853700733,0.45267455853700733
1,6,0,5000000,,0,8000000000,9101,17101,501,16600,0,8000,0.7999999999999999,0,0.7999999999999999
1,28,1,3000000,177.94206051408983,1336600.3593301664,9000000000,22372,24172,2701,21471,2245,1800,0,0.6733501107623767,0.6733501107623767
1,8,0,2000000,,0,10000000000,17101,27101,701,26400,0,10000,0.9999999999999999,0,0.9999999999999999
1,15,1,6000000,177.18749758377422,1359299.607858281,7000000000,32172,33572,1401,32171,4414,1400,0,1.3242113729702967,1.3242113729702967
1,23,1,5000000,177.58779490719513,1347198.4471009306,7000000000,34772,36172,2201,33971,3711,1400,0,1.1134217109794677,1.1134217109794677
1,10,0,10000000,,0,10000000000,27101,37101,901,36200,0,10000,0.9999999999999999,0,0.9999999999999999
1,42,1,3000000,179.66646042041344,1286469.0854757912,2000000000,41972,42372,4101,38271,2332,400,0,0.6995892945745692,0.6995892945745692
1,52,1,2000000,181.72107692835192,1229751.6873738903,9000000000,45172,46972,5101,41871,1626,1800,0,0.4879033760720327,0.4879033760720327
1,11,0,8000000,,0,10000000000,37101,47101,1001,46100,0,10000,0.9999999999999999,0,0.9999999999999999
1,12,0,6000000,,0,4000000000,47101,51101,1101,50000,0,4000,0.39999999999999997,0,0.39999999999999997
1,1,1,9000000,180.12362227092814,1273572.4377154396,6000000000,50372,51572,1,51571,7067,1200,0,2.120020754251965,2.120020754251965
1,14,0,3000000,,0,6000000000,51101,57101,1301,55800,0,6000,0.6,0,0.6
1,30,1,6000000,178.12587150663992,1331142.3681866855,8000000000,57372,58972,2901,56071,4507,1600,0,1.3522220034600836,1.3522220034600836
1,24,1,7000000,177.65012412041824,1345326.275715732,2000000000,58972,59372,2301,57071,5203,400,0,1.5609596258593634,1.5609596258593634
1,16,0,5000000,,0,4000000000,57101,61101,1501,59600,0,4000,0.39999999999999997,0,0.39999999999999997
1,5,1,10000000,176.96322612339546,1366138.4977640165,10000000000,61772,63772,401,63371,7320,2000,0,2.1959706171154347,2.1959706171154347
1,17,0,9000000,,0,3000000000,61101,64101,1601,62500,0,3000,0.3,0,0.3
1,62,1,2000000,184.09785577241252,1167966.0588602412,9000000000,63772,65572,6101,59471,1712,1800,0,0.5137135582394488,0.5137135582394488
1,7,1,10000000,176.98800241824298,1365380.8761723225,4000000000,67572,68372,601,67771,7324,800,0,2.1971891157653616,2.1971891157653616
1,37,1,6000000,178.91784148038448,1307940.45478632,6000000000,71772,72972,3601,69371,4587,1200,0,1.3762094393617241,1.3762094393617241
1,19,0,8000000,,0,9000000000,64101,73101,1801,71300,0,9000,0.8999999999999999,0,0.8999999999999999
1,66,1,2000000,184.73506028905285,1152061.9708833152,6000000000,72972,74172,6501,67671,1736,1200,0,0.5208053170438086,0.5208053170438086
1,59,1,3000000,183.43697364490075,1184750.694688534,4000000000,78772,79572,5801,73771,2532,800,0,0.7596534899999415,0.7596534899999415
1,20,0,9000000,,0,10000000000,73101,83101,1901,81200,0,10000,0.9999999999999999,0,0.9999999999999999
1,13,1,10000000,177.12224733217448,1361284.938233038,4000000000,85572,86372,1201,85171,7346,800,0,2.2038001859434595,2.2038001859434595
1,21,0,9000000,,0,9000000000,83101,92101,2001,90100,0,9000,0.8999999999999999,0,0.8999999999999999
1,22,0,7000000,,0,3000000000,92101,95101,2101,93000,0,3000,0.3,0,0.3
1,43,1,6000000,179.8371443834671,1281635.1374011966,2000000000,96372,96772,4201,92571,4682,400,0,1.4044558763033796,1.4044558763033796
1,64,1,3000000,184.49171932636978,1158103.5671049147,4000000000,96772,97572,6301,91271,2590,800,0,0.7771325687648688,0.7771325687648688
1,31,1,8000000,178.2195253051696,1328372.1139348727,4000000000,98372,99172,3001,96171,6022,800,0,1.8067226606336808,1.8067226606336808
2,2,0,7000000,,0,2000000000,101,2101,101,2000,0,2000,0.19999999999999998,0,0.19999999999999998
2,1,1,3000000,186.13618938830783,1118027.779437663,2000000000,2684,3084,1,3083,2683,400,0,0.8049889426295607,0.8049889426295607
2,7,1,3000000,185.98931205851585,1121536.2833713081,3000000000,3276,3876,601,3275,2675,600,0,0.8024706943003431,0.8024706943003431
2,9,1,3000000,185.87644982622191,1124241.5693707045,8000000000,3876,5476,801,4675,2668,1600,0,0.8005396922867529,0.8005396922867529
2,18,1,3000000,185.05736407935782,1144120.1406197306,2000000000,5476,5876,1701,4175,2622,400,0,0.7866306763138536,0.7866306763138536
2,19,1,3000000,184.93961311736325,1147013.701263292,7000000000,5876,7276,1801,5475,2615,1400,0,0.7846462505275766,0.7846462505275766
2,31,1,3000000,183.10767214947603,1193226.059808833,4000000000,7276,8076,3001,5075,2514,800,0,0.7542577473912941,0.7542577473912941
2,12,1,5000000,185.65277913352116,1129626.9437891245,6000000000,8076,9276,1101,8175,4426,1200,0,1.3278720096464127,1.3278720096464127
2,3,0,5000000,,0,8000000000,2101,10101,201,9900,0,8000,0.7999999999999999,0,0.7999999999999999
2,6,1,7000000,186.0326113884337,1120500.5568019846,5000000000,9276,10276,501,9775,6247,1000,0,1.874162388632452,1.874162388632452
2,45,1,3000000,180.33470270582978,1267672.066978991,3000000000,10276,10876,4401,6475,2367,600,0,0.7099627919898905,0.7099627919898905
2,30,1,5000000,183.2812581798805,1188749.0415555472,10000000000,10876,12876,2901,9975,4206,2000,0,1.2618306703634965,1.2618306703634965
2,50,1,3000000,179.28985693563374,1297215.3329856698,2000000000,12876,13276,4901,8375,2313,400,0,0.6937938344658328,0.6937938344658328
2,4,1,8000000,186.09938339500215,1118905.691744449,5000000000,13276,14276,301,13975,7150,1000,0,2.1449528925518635,2.1449528925518635
2,15,1,7000000,185.38217093345304,1136185.4210269148,7000000000,14276,15676,1401,14275,6161,1400,0,1.8482898663687866,1.8482898663687866
2,5,0,5000000,,0,7000000000,10101,17101,401,16700,0,7000,0.7,0,0.7
2,17,1,7000000,185.17257032292878,1141297.8965627062,10000000000,15676,17676,1601,16075,6133,2000,0,1.8400104007241722,1.8400104007241722
2,20,1,7000000,184.8130636616362,1150133.6293584416,7000000000,17676,19076,1901,17175,6086,1400,0,1.825874790889651,1.825874790889651
2,22,1,7000000,184.54034626606725,1156893.1267168769,2000000000,19076,19476,2101,17375,6051,400,0,1.8152065661929782,1.8152065661929782
