vehicle_id,task_id,execution_location,size,distance,transfer_rate,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,1,1,7000000,180.12362227092814,1273572.4377154396,7000000000,5497,6897,1,6896,5496,1400,0,1.6489050310848616,1.6489050310848616
1,2,0,5000000,178.2195253051696,0,6000000000,3001,9001,3001,6000,0,6000,0.6,0,0.6
1,3,0,7000000,183.89026211303306,0,6000000000,9001,15001,6001,9000,0,6000,0.6,0,0.6
1,4,1,8000000,174.2800496327678,1451371.9489850937,6000000000,14513,15713,9001,6712,5512,1200,0,1.653607816850985,1.653607816850985
1,6,1,5000000,134.19435792908735,4054582.2074223715,2000000000,18313,18713,15001,3712,1233,400,0,0.3699518034815228,0.3699518034815228
1,5,0,3000000,153.93124861443826,0,5000000000,15001,20001,12001,8000,0,5000,0.49999999999999994,0,0.49999999999999994
1,7,0,2000000,115.7584813307431,0,3000000000,20001,23001,18001,5000,0,3000,0.3,0,0.3
1,9,1,3000000,92.84315914487185,16231834.682887789,7000000000,24186,25586,24001,1585,185,1400,0,0.05544659723209317,0.05544659723209317
1,10,1,8000000,78.80699524788392,28577460.437299713,8000000000,27281,28881,27001,1880,280,1600,0,0.0839822700574011,0.0839822700574011
1,11,1,3000000,69.22982666452369,43048520.651141025,9000000000,30071,31871,30001,1870,70,1800,0,0.020906641770421557,0.020906641770421557
1,8,0,2000000,105.52037954821806,0,10000000000,23001,33001,21001,12000,0,10000,0.9999999999999999,0,0.9999999999999999
1,12,1,3000000,67.05641281786552,47330635.66949557,2000000000,33064,33464,33001,463,63,400,0,0.019015168236585653,0.019015168236585653
1,13,1,6000000,66.61727403609366,48249021.153162636,5000000000,36770,37770,36001,1769,124,1000,0,0.03730645631723895,0.03730645631723895
1,14,1,2000000,72.3964867932139,37532255.61956763,2000000000,39054,39454,39001,453,53,400,0,0.015986249429868718,0.015986249429868718
1,16,1,8000000,99.35792670944781,12693042.093320874,6000000000,45631,46831,45001,1830,630,1200,0,0.18907996856505258,0.18907996856505258
1,15,0,3000000,83.9798862823712,0,9000000000,42001,51001,42001,9000,0,9000,0.8999999999999999,0,0.8999999999999999
1,17,0,8000000,116.67081211682725,0,5000000000,51001,56001,48001,8000,0,5000,0.49999999999999994,0,0.49999999999999994
1,19,1,7000000,155.56204324963076,2273368.128798877,3000000000,57080,57680,54001,3679,3079,600,0,0.9237395270028373,0.9237395270028373
1,18,0,4000000,135.67610290688629,0,7000000000,56001,63001,51001,12000,0,7000,0.7,0,0.7
1,20,0,10000000,176.06610690306067,0,2000000000,63001,65001,57001,8000,0,2000,0.19999999999999998,0,0.19999999999999998
1,22,1,2000000,198.36412679716057,868313.9305856697,4000000000,65304,66104,63001,3103,2303,800,0,0.6909943268966162,0.6909943268966162
1,23,1,4000000,193.24822638254668,963342.1712538899,8000000000,70153,71753,66001,5752,4152,1600,0,1.2456633123805587,1.2456633123805587
1,21,1,10000000,196.22274893599877,906601.4149585579,5000000000,71753,72753,60001,12752,11030,1000,0,3.309061678595697,3.309061678595697
1,24,1,5000000,192.04401578804794,987566.6976269817,7000000000,74064,75464,69001,6463,5063,1400,0,1.5188847534089003,1.5188847534089003
1,25,0,9000000,194.85996253720256,0,6000000000,72001,78001,72001,6000,0,6000,0.6,0,0.6
1,26,1,3000000,201.5371402496324,815209.27603018,2000000000,78727,79127,75001,4126,3680,400,0,1.1040109901382928,1.1040109901382928
1,28,0,6000000,224.82935239865807,0,2000000000,81001,83001,81001,2000,0,2000,0.19999999999999998,0,0.19999999999999998
1,27,1,3000000,211.68817161098065,670408.8722192334,6000000000,83180,84380,78001,6379,4475,1200,0,1.3424643337740418,1.3424643337740418
1,29,1,3000000,240.4917597340915,403209.4182393439,9000000000,91441,93241,84001,9240,7440,1800,0,2.2320907183417096,2.2320907183417096
1,30,0,5000000,249.97665971046177,0,7000000000,87001,94001,87001,7000,0,7000,0.7,0,0.7
2,1,0,5000000,186.13618938830783,0,3000000000,1,3001,1,3000,0,3000,0.3,0,0.3
2,2,0,10000000,183.10767214947603,0,2000000000,3001,5001,3001,2000,0,2000,0.19999999999999998,0,0.19999999999999998
2,3,1,5000000,177.28988352413114,1356191.6207827418,4000000000,9688,10488,6001,4487,3687,800,0,1.1060383923727957,1.1060383923727957
2,4,0,3000000,175.22724702511312,0,2000000000,9001,11001,9001,2000,0,2000,0.19999999999999998,0,0.19999999999999998
2,5,0,6000000,178.157256938919,0,10000000000,12001,22001,12001,10000,0,10000,0.9999999999999999,0,0.9999999999999999
2,7,1,3000000,204.14273952310916,774597.7000558042,7000000000,21874,23274,18001,5273,3873,1400,0,1.1618934576428015,1.1618934576428015
2,9,1,2000000,189.1234623202526,1049544.6050093847,3000000000,25907,26507,24001,2506,1906,600,0,0.571676512971676,0.571676512971676
2,6,0,2000000,185.26381298030117,0,10000000000,22001,32001,15001,17000,0,10000,0.9999999999999999,0,0.9999999999999999
2,12,1,3000000,126.09522155894724,5160869.9011761295,4000000000,33914,34714,33001,1713,581,800,0,0.1743892051599471,0.1743892051599471
2,8,0,10000000,211.43839764810932,0,4000000000,32001,36001,21001,15000,0,4000,0.39999999999999997,0,0.39999999999999997
2,14,1,4000000,91.170367993115,17320069.946935628,6000000000,41176,42376,39001,3375,231,1200,0,0.06928378486209932,0.06928378486209932
2,10,0,5000000,167.94608807590603,0,9000000000,36001,45001,27001,18000,0,9000,0.8999999999999999,0,0.8999999999999999
2,16,1,6000000,71.03915117736135,39797671.89482717,10000000000,45152,47152,45001,2151,151,2000,0,0.0452287763152789,0.0452287763152789
2,17,1,6000000,68.50598878930222,44427277.35212232,8000000000,48136,49736,48001,1735,135,1600,0,0.040515649557670064,0.040515649557670064
2,11,0,4000000,146.589252675631,0,10000000000,45001,55001,30001,25000,0,10000,0.9999999999999999,0,0.9999999999999999
2,19,1,8000000,85.89955587778084,21347035.508333437,2000000000,55980,56380,54001,2379,375,400,0,0.11242778881700413,0.11242778881700413
2,20,1,2000000,88.20806369034527,19462876.30770105,9000000000,57104,58904,57001,1903,103,1800,0,0.030827920319392493,0.030827920319392493
2,21,1,3000000,103.50153042346767,10916477.141663074,3000000000,63081,63681,60001,3680,275,600,0,0.08244417941069304,0.08244417941069304
2,13,0,8000000,106.88407271431983,0,10000000000,55001,65001,36001,29000,0,10000,0.9999999999999999,0,0.9999999999999999
2,15,0,7000000,80.2557026011236,0,2000000000,65001,67001,42001,25000,0,2000,0.19999999999999998,0,0.19999999999999998
2,23,1,7000000,136.7228561726239,3770352.86616931,4000000000,68449,69249,66001,3248,1857,800,0,0.5569770455287932,0.5569770455287932
2,24,1,6000000,136.7228561726239,3770352.86616931,9000000000,70592,72392,69001,3391,1591,1800,0,0.47740889616753707,0.47740889616753707
2,18,0,2000000,73.96341798483898,0,9000000000,67001,76001,51001,25000,0,9000,0.8999999999999999,0,0.8999999999999999
2,26,1,3000000,144.46755829597177,3040051.071159107,8000000000,81592,83192,75001,8191,987,1600,0,0.2960476580601816,0.2960476580601816
2,22,0,6000000,122.34261440724566,0,10000000000,76001,86001,63001,23000,0,10000,0.9999999999999999,0,0.9999999999999999
2,25,0,2000000,136.7228561726239,0,9000000000,86001,95001,72001,23000,0,9000,0.8999999999999999,0,0.8999999999999999
2,30,1,2000000,205.53309830779077,753957.9461001514,5000000000,96127,97127,87001,10126,2653,1000,0,0.7958003534593685,0.7958003534593685
2,28,1,10000000,171.84272926138016,1534593.6322417425,3000000000,96592,97192,81001,16191,6516,600,0,1.9549149279458329,1.9549149279458329
2,31,1,2000000,186.93584273755528,1099163.9593930317,6000000000,97127,98327,90001,8326,1820,1200,0,0.5458694263695886,0.5458694263695886
3,2,1,3000000,214.59254809988164,635000.8744047234,2000000000,9273,9673,3001,6672,4724,400,0,1.4173208829731108,1.4173208829731108
3,1,0,2000000,219.47007108031832,0,10000000000,1,10001,1,10000,0,10000,0.9999999999999999,0,0.9999999999999999
3,4,0,9000000,192.6821984512321,0,6000000000,10001,16001,9001,7000,0,6000,0.6,0,0.6
3,3,1,10000000,202.8207336541311,794879.6790359179,8000000000,18582,20182,6001,14181,12581,1600,0,3.7741561133360415,3.7741561133360415
3,6,1,6000000,175.75685164453765,1403668.1435949758,3000000000,20182,20782,15001,5781,4275,600,0,1.2823543856954445,1.2823543856954445
3,5,0,4000000,187.9598427856333,0,5000000000,16001,21001,12001,9000,0,5000,0.49999999999999994,0,0.49999999999999994
3,7,1,8000000,149.28622508456704,2672979.0456026164,5000000000,20994,21994,18001,3993,2993,1000,0,0.8978746032253037,0.8978746032253037
3,8,0,5000000,124.78861206055629,0,8000000000,21001,29001,21001,8000,0,8000,0.7999999999999999,0,0.7999999999999999
3,11,1,5000000,47.162114032346004,112999837.9627847,8000000000,30045,31645,30001,1644,44,1600,0,0.013274355318049299,0.013274355318049299
3,12,1,10000000,20.958406427970694,330866440.21647036,4000000000,33031,33831,33001,830,30,800,0,0.009067102719868601,0.009067102719868601
3,9,0,3000000,98.22430249179672,0,7000000000,29001,36001,24001,12000,0,7000,0.7,0,0.7
3,14,1,7000000,31.03134222040683,220370467.0102871,2000000000,39033,39433,39001,432,32,400,0,0.009529407585735932,0.009529407585735932
3,10,0,9000000,71.68834284596065,0,5000000000,36001,41001,27001,14000,0,5000,0.49999999999999994,0,0.49999999999999994
3,13,0,9000000,6.153738700984919,0,5000000000,41001,46001,36001,10000,0,5000,0.49999999999999994,0,0.49999999999999994
3,15,0,7000000,57.46681912199419,0,4000000000,46001,50001,42001,8000,0,4000,0.39999999999999997,0,0.39999999999999997
3,18,1,3000000,135.0387118570079,3956826.3297560615,9000000000,51759,53559,51001,2558,758,1800,0,0.22745501697454712,0.22745501697454712
3,16,0,8000000,81.93319778941863,0,6000000000,50001,56001,45001,11000,0,6000,0.6,0,0.6
3,17,0,9000000,108.46928828013947,0,10000000000,56001,66001,48001,18000,0,10000,0.9999999999999999,0,0.9999999999999999
3,22,1,3000000,183.25064938493398,1189536.9644908751,9000000000,65523,67323,63001,4322,2522,1800,0,0.7565969170072847,0.7565969170072847
3,19,0,2000000,161.60491329164466,0,5000000000,66001,71001,54001,17000,0,5000,0.49999999999999994,0,0.49999999999999994
3,20,0,2000000,186.11249286385902,0,6000000000,71001,77001,57001,20000,0,6000,0.6,0,0.6
3,21,0,8000000,205.30215098727044,0,3000000000,77001,80001,60001,20000,0,3000,0.3,0,0.3
3,26,1,8000000,182.53852333137792,1208053.0506206458,4000000000,81623,82423,75001,7422,6622,800,0,1.9866677202354508,1.9866677202354508
3,27,1,5000000,198.237014707143,870529.7717554047,6000000000,84643,85843,78001,7842,5744,1200,0,1.7230886853821004,1.7230886853821004
3,23,0,7000000,168.6152582063675,0,10000000000,80001,90001,66001,24000,0,10000,0.9999999999999999,0,0.9999999999999999
3,24,0,8000000,158.66009265092467,0,3000000000,90001,93001,69001,24000,0,3000,0.3,0,0.3
4,1,0,4000000,218.64258917237515,0,5000000000,1,5001,1,5000,0,5000,0.49999999999999994,0,0.49999999999999994
4,2,0,5000000,213.06791640225893,0,2000000000,5001,7001,3001,4000,0,2000,0.19999999999999998,0,0.19999999999999998
4,5,0,10000000,179.05946386605765,0,5000000000,12001,17001,12001,5000,0,5000,0.49999999999999994,0,0.49999999999999994
4,4,1,8000000,186.87452902950687,1100596.2618966282,5000000000,16270,17270,9001,8269,7269,1000,0,2.1806361543188815,2.1806361543188815
4,3,1,10000000,199.3570989455856,851243.8270199922,8000000000,17749,19349,6001,13348,11748,1600,0,3.524254631604562,3.524254631604562
4,7,0,8000000,179.66557377527843,0,2000000000,18001,20001,18001,2000,0,2000,0.19999999999999998,0,0.19999999999999998
4,6,1,7000000,176.58283155505242,1377836.250143865,9000000000,20081,21881,15001,6880,5080,1800,0,1.524128864936404,1.524128864936404
4,8,0,5000000,187.98747006117193,0,10000000000,21001,31001,21001,10000,0,10000,0.9999999999999999,0,0.9999999999999999
4,9,1,5000000,200.92013263981295,825211.9093585298,10000000000,30060,32060,24001,8059,6059,2000,0,1.8177149202391054,1.8177149202391054
4,11,0,7000000,236.91927443751803,0,7000000000,31001,38001,30001,8000,0,7000,0.7,0,0.7
4,12,0,3000000,227.95178481424534,0,3000000000,38001,41001,33001,8000,0,3000,0.3,0,0.3
4,13,1,4000000,209.16567237479478,703178.6453187951,8000000000,41689,43289,36001,7288,5688,1600,0,1.7065364655036765,1.7065364655036765
4,10,1,9000000,217.52034433588042,601636.149393401,7000000000,41960,43360,27001,16359,14959,1400,0,4.487762250859214,4.487762250859214
4,15,1,2000000,182.45492292618474,1210250.19770478,4000000000,44653,45453,42001,3452,1653,800,0,0.495765256752604,0.495765256752604
4,14,0,5000000,193.67189780657384,0,8000000000,41001,49001,39001,10000,0,8000,0.7999999999999999,0,0.7999999999999999
4,16,1,4000000,176.2890467385878,1386955.9078289066,3000000000,48853,49453,45001,4452,2884,600,0,0.8652041447218312,0.8652041447218312
4,17,0,8000000,175.60692839406988,0,7000000000,49001,56001,48001,8000,0,7000,0.7,0,0.7
4,18,0,9000000,180.47075885029133,0,7000000000,56001,63001,51001,12000,0,7000,0.7,0,0.7
4,19,1,8000000,190.5755671643141,1018142.1412914365,7000000000,61858,63258,54001,9257,7857,1400,0,2.3572347147479635,2.3572347147479635
4,20,1,7000000,205.36544840844087,756410.0550170066,3000000000,67822,68422,57001,11421,9254,600,0,2.776271925619478,2.776271925619478
4,22,0,5000000,240.62795057931234,0,8000000000,63001,71001,63001,8000,0,8000,0.7999999999999999,0,0.7999999999999999
4,21,1,8000000,223.61109543133145,538950.6567571157,10000000000,74845,76845,60001,16844,14844,2000,0,4.453097829847506,4.453097829847506
4,23,0,2000000,223.17800070795514,0,6000000000,71001,77001,66001,11000,0,6000,0.6,0,0.6
4,26,1,9000000,171.5400944385889,1545336.2969042694,7000000000,80825,82225,75001,7224,5824,1400,0,1.7471925078113013,1.7471925078113013
4,24,0,6000000,205.6257576277836,0,7000000000,77001,84001,69001,15000,0,7000,0.7,0,0.7
4,25,0,4000000,187.67957187717582,0,2000000000,84001,86001,72001,14000,0,2000,0.19999999999999998,0,0.19999999999999998
4,27,0,4000000,158.39679321248897,0,3000000000,86001,89001,78001,11000,0,3000,0.3,0,0.3
4,31,1,4000000,139.3392137913804,3501618.52104618,3000000000,91143,91743,90001,1742,1142,600,0,0.34269866714135255,0.34269866714135255
4,32,1,6000000,142.60337478475043,3198616.8863390135,5000000000,94877,95877,93001,2876,1876,1000,0,0.5627432305780751,0.5627432305780751
4,28,0,4000000,147.46926798489235,0,8000000000,89001,97001,81001,16000,0,8000,0.7999999999999999,0,0.7999999999999999
5,2,1,2000000,148.2972420512263,2743646.4154798216,3000000000,3730,4330,3001,1329,729,600,0,0.2186870715609574,0.2186870715609574
5,1,1,9000000,155.6618553146531,2267633.5096717393,5000000000,4330,5330,1,5329,3969,1000,0,1.1906685928233833,1.1906685928233833
5,3,1,10000000,151.066658465725,2551340.289990346,4000000000,10342,11142,6001,5141,3920,800,0,1.1758525555253752,1.1758525555253752
5,4,0,10000000,157.31765190213082,0,6000000000,9001,15001,9001,6000,0,6000,0.6,0,0.6
5,6,1,2000000,179.0865517005674,1303062.9694130067,6000000000,16536,17736,15001,2735,1535,1200,0,0.4604535729154234,0.4604535729154234
5,7,1,4000000,183.8661222194018,1173817.5906512649,3000000000,22936,23536,18001,5535,3408,600,0,1.0223053475746673,1.0223053475746673
5,5,0,6000000,167.92416175166693,0,9000000000,15001,24001,12001,12000,0,9000,0.8999999999999999,0,0.8999999999999999
5,8,0,9000000,200.84476517947886,0,9000000000,24001,33001,21001,12000,0,9000,0.8999999999999999,0,0.8999999999999999
5,10,1,4000000,221.06210575311184,564143.0707879511,2000000000,34941,35341,27001,8340,7090,400,0,2.1271199845172846,2.1271199845172846
